frame,tracker_id,class_name,x_canon,y_canon,num_detecciones,area_pixeles
1,,,,,0,
2,,,,,0,
3,-1.0,orange ball,90.625,263.25,1,70.0
4,,,,,0,
5,-1.0,orange ball,90.375,262.0,1,90.5
6,-1.0,orange ball,90.125,259.5,1,119.0
7,-1.0,orange ball,90.75,258.25,1,64.0
8,-1.0,orange ball,90.75,257.375,1,67.0
9,-1.0,orange ball,89.25,254.25,1,127.5
10,,,,,0,
11,,,,,0,
12,,,,,0,
13,-1.0,orange ball,91.5,254.875,1,119.0
14,-1.0,orange ball,91.0,255.125,1,92.5
15,,,,,0,
16,-1.0,orange ball,90.875,254.875,1,101.0
17,,,,,0,
18,,,,,0,
19,,,,,0,
20,-1.0,orange ball,89.625,255.625,1,113.0
21,-1.0,orange ball,89.875,255.125,1,182.0
22,-1.0,orange ball,89.0,256.125,1,188.5
23,-1.0,orange ball,88.75,257.0,1,118.0
24,-1.0,orange ball,89.0,256.875,1,155.0
25,-1.0,orange ball,89.375,256.375,1,64.5
26,,,,,0,
27,-1.0,orange ball,89.625,256.0,1,81.5
28,,,,,0,
29,,,,,0,
30,,,,,0,
31,,,,,0,
32,-1.0,orange ball,89.25,256.125,1,79.5
33,,,,,0,
34,-1.0,orange ball,87.375,257.25,1,129.0
35,,,,,0,
36,,,,,0,
37,,,,,0,
38,,,,,0,
39,-1.0,orange ball,89.75,254.75,1,181.0
40,-1.0,orange ball,88.0,253.75,1,123.0
41,-1.0,orange ball,86.875,251.25,1,518.5
42,-1.0,orange ball,85.5,249.5,1,98.0
43,-1.0,orange ball,82.25,246.375,1,66.5
44,,,,,0,
45,,,,,0,
46,,,,,0,
47,,,,,0,
48,,,,,0,
49,,,,,0,
50,,,,,0,
51,,,,,0,
52,,,,,0,
53,,,,,0,
54,,,,,0,
55,,,,,0,
56,,,,,0,
57,,,,,0,
58,,,,,0,
59,,,,,0,
60,,,,,0,
61,-1.0,orange ball,85.875,186.625,1,95.0
62,,,,,0,
63,,,,,0,
64,,,,,0,
65,,,,,0,
66,-1.0,orange ball,84.5,183.25,1,82.5
67,,,,,0,
68,-1.0,orange ball,84.75,180.375,1,97.0
69,,,,,0,
70,,,,,0,
71,,,,,0,
