frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_10a,distancia_pelota_10a
1,2,robot,87.875,79.875,10a,,
2,2,robot,87.875,79.5,10a,,
3,2,robot,87.875,79.125,10a,,
4,2,robot,87.875,78.625,10a,,
5,2,robot,87.625,78.125,10a,,
6,2,robot,87.625,77.375,10a,,
7,2,robot,87.5,77.0,10a,,
8,2,robot,87.25,76.5,10a,,
9,2,robot,87.25,76.0,10a,,
10,2,robot,87.25,75.625,10a,,
11,2,robot,87.375,75.375,10a,,
12,2,robot,87.5,75.0,10a,,
13,2,robot,87.5,74.875,10a,,
14,2,robot,87.5,74.875,10a,,
15,2,robot,87.5,74.75,10a,,
16,2,robot,87.625,74.625,10a,10.51189802081432,
17,2,robot,87.625,74.625,10a,9.762812094883317,
18,2,robot,87.75,74.625,10a,9.003471552684553,
19,2,robot,87.75,74.875,10a,7.504165509901817,
20,2,robot,87.75,74.75,10a,6.754628043053148,
21,2,robot,87.75,75.0,10a,4.756574397610112,
22,2,robot,87.75,75.125,10a,3.7831864876053896,107.46409284035296
23,2,robot,87.625,75.375,10a,2.3717082451262845,
24,2,robot,87.625,75.5,10a,1.25,
25,2,robot,87.75,75.75,10a,1.0307764064044151,96.62305948892325
26,2,robot,87.75,75.75,10a,1.0606601717798212,
27,2,robot,87.625,76.125,10a,2.2638462845343543,87.78560531203279
28,2,robot,87.625,76.125,10a,2.5124689052802225,
29,2,robot,87.625,76.25,10a,2.7613402542968153,85.00009191171502
30,2,robot,87.625,76.125,10a,2.7613402542968153,86.00081758332301
31,2,robot,87.625,76.125,10a,3.0,84.50036982167593
32,2,robot,87.625,76.25,10a,3.25,74.72156649856854
33,2,robot,87.5,76.125,10a,3.0413812651491097,
34,2,robot,87.5,75.875,10a,2.0615528128088303,
35,2,robot,87.375,76.125,10a,2.850438562747845,
36,2,robot,87.5,76.0,10a,2.0615528128088303,
37,2,robot,87.5,76.0,10a,1.8200274723201295,
38,2,robot,87.5,75.75,10a,0.7905694150420949,
39,2,robot,87.75,75.625,10a,0.3535533905932738,
40,2,robot,87.75,75.625,10a,0.25,
41,2,robot,88.125,75.375,10a,1.0606601717798212,
42,2,robot,88.25,75.375,10a,1.9525624189766635,
43,2,robot,88.5,75.125,10a,2.6575364531836625,91.15268783749605
44,2,robot,88.75,75.25,10a,3.010398644698074,
45,2,robot,88.875,75.25,10a,3.0516389039334255,
46,2,robot,89.125,75.375,10a,3.3541019662496847,82.97072149258436
47,2,robot,89.5,75.25,10a,4.25,64.82054554691746
48,2,robot,89.625,75.375,10a,4.5069390943299865,54.29117101334249
49,2,robot,89.625,75.5,10a,4.315669125408017,49.631296829722274
50,2,robot,89.75,75.625,10a,4.8541219597369,47.50411166414966
51,2,robot,89.75,75.75,10a,4.527692569068709,45.81910764080855
52,2,robot,89.75,75.875,10a,4.5069390943299865,46.30908388210676
53,2,robot,89.75,76.0,10a,4.527692569068709,45.87431879603228
