frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_17b,distancia_pelota_17b
1,1,robot,88.125,166.875,17b,,
2,1,robot,87.875,166.25,17b,,
3,1,robot,87.75,165.875,17b,,
4,1,robot,87.5,165.625,17b,,
5,1,robot,87.375,165.25,17b,,
6,1,robot,87.25,164.625,17b,,
7,1,robot,87.125,164.25,17b,,
8,1,robot,87.0,163.875,17b,,
9,1,robot,87.0,163.0,17b,,
10,1,robot,87.0,162.75,17b,,
11,1,robot,86.875,162.5,17b,,
12,1,robot,86.75,162.375,17b,,
13,1,robot,86.875,161.75,17b,,
14,1,robot,86.875,162.0,17b,,
15,1,robot,86.875,161.875,17b,,
16,1,robot,86.875,161.875,17b,10.307764064044152,
17,1,robot,86.875,161.875,17b,8.97566153550812,
18,1,robot,86.875,162.0,17b,7.945124291035351,
19,1,robot,86.875,162.25,17b,6.864765108872991,
20,1,robot,86.875,162.25,17b,6.082762530298219,
21,1,robot,86.875,162.5,17b,4.315669125408017,
22,1,robot,86.875,162.625,17b,3.2882366094914763,
23,1,robot,86.75,162.875,17b,2.0615528128088303,19.53562451010973
24,1,robot,86.75,163.0,17b,0.5,
25,1,robot,86.75,163.125,17b,0.9013878188659973,21.630779574485985
26,1,robot,86.625,163.25,17b,1.5811388300841898,
27,1,robot,86.75,163.5,17b,2.25,
28,1,robot,86.75,163.125,17b,2.7613402542968153,20.2256798402427
29,1,robot,86.625,163.25,17b,2.5495097567963922,20.18817723322242
30,1,robot,86.625,163.375,17b,3.0413812651491097,20.512953224730953
31,1,robot,86.625,163.5,17b,3.2882366094914763,
32,1,robot,86.625,163.5,17b,3.2882366094914763,20.623105973640342
33,1,robot,86.5,163.375,17b,2.850438562747845,22.063119679682654
34,1,robot,86.5,163.25,17b,2.1360009363293826,
35,1,robot,86.375,163.375,17b,2.462214450449026,
36,1,robot,86.375,163.375,17b,2.0155644370746373,
37,1,robot,86.5,163.25,17b,1.4577379737113252,
